platform_category,objective,product_number_type,campaign_count,total_campaign_duration_days,typical_campaign_duration,confidence_tier,streaming_attribution_quality,trackable_campaign_proportion,any_overlap_count,total_spend,spend_per_day,impressions,reach,video_views,link_clicks,conversions,interactions,comments,likes,reactions,shares,follows,total_awareness_metrics,awareness_per_day,total_traffic_metrics,traffic_per_day,total_engagement_metrics,engagement_per_day,cpm,cost_per_click,cost_per_1000_engagements,engagement_rate_pct,click_through_rate_pct,conversion_rate_pct,baseline_streams_14day_pre,streams_during_campaign,streams_10day_post,campaign_daily_streams,overlap_ratio_baseline,overlap_ratio_during,overlap_ratio_decay
tiktok,reach,Track URI,13,276,13.0,A_reliable,clean,1.0,0.38461538461538464,16707.816931660003,60.535568592971025,13503208,813964,13449373,22191,0,0,310,73536,0,204,1226,26952581,97654.27898550725,22191,80.40217391304348,75276,272.7391304347826,1.2373220446326534,0.7529095999125773,221.95410132924175,0.5574675291975062,0.16433872602717814,0.0,1587428.5,18222079.0,1094439.0,66022.02536231885,0.0,0.2753623188405797,0.05384615384615385
tiktok,reach,URL,3,119,41.0,B_indicative,not_applicable,0.0,2.6666666666666665,1043.1781513199999,8.766202952268907,1547297,140832,1542801,1031,0,0,9,6727,0,13,185,3090098,25967.210084033613,1031,8.663865546218487,6934,58.26890756302521,0.6741938692571626,1.011811979941804,150.44392144793767,0.4481363306462819,0.06663232721319824,0.0,8501.714285714286,670785.0,0.0,5636.848739495798,0.0,0.8487394957983193,0.0
tiktok,traffic,Album URI,2,75,37.5,C_exploratory,not_applicable,0.0,2.5,2059.09456408,27.454594187733335,1640943,349696,1633582,15110,2547,0,52,28907,0,239,1535,3274525,43660.333333333336,17657,235.42666666666668,30733,409.7733333333333,1.254823942135711,0.13627363097816017,66.9994652028764,1.8728865048938323,0.9208119965166371,16.856386499007282,0.0,0.0,0.0,0.0,0.03571428571428571,1.44,0.0
tiktok,traffic,Playlist URI,1,82,82.0,C_exploratory,not_applicable,0.0,6.0,5060.63933158,61.7151137997561,3506395,137601,3488349,13234,5435,0,183,27323,0,166,537,6994744,85301.75609756098,18669,227.67073170731706,28209,344.0121951219512,1.4432599098447263,0.38239680607374943,179.39804075224217,0.8045014894214714,0.3774246769117569,41.06846002720266,0.0,0.0,0.0,0.0,0.0,1.8170731707317074,0.0
tiktok,traffic,Track URI,22,622,20.0,A_reliable,moderate_noise,1.0,1.9090909090909092,20454.96685584,32.88579880360129,15108610,456835,15024011,218082,100203,0,1276,176323,0,1122,9880,30132621,48444.728295819936,318285,511.7122186495177,188601,303.2170418006431,1.3538615965227774,0.0937948425630726,108.45630116404473,1.24830146519104,1.4434286145449515,45.94739593363964,533398.7142857143,46526975.0,1359525.0,74802.21061093248,0.23376623376623376,0.9501607717041801,0.09090909090909091
tiktok,traffic,URL,4,84,19.5,C_exploratory,not_applicable,0.0,3.5,5650.86041218,67.27214776404762,3487085,163516,3311988,21852,18771,0,281,21609,0,91,633,6799073,80941.34523809524,40623,483.60714285714283,22614,269.2142857142857,1.6205112327861235,0.25859694362895846,249.88327638542495,0.6485072775685136,0.6266552148857857,85.90060406370125,0.0,0.0,0.0,0.0,0.26785714285714285,1.5119047619047619,0.75
youtube,TARGET_CPV,URL,2,34,17.0,C_exploratory,not_applicable,0.0,4.5,1400.6895816410001,41.196752401205885,2443973,311639,88889,0,0,89088,0,0,0,0,0,2532862,74495.94117647059,0,0.0,199,5.852941176470588,0.5731199082972684,,7038.64111377387,0.008142479479110449,0.0,,495043.5,15019331.0,12280455.0,441745.0294117647,1.8214285714285714,3.1470588235294117,3.1
youtube,conversions,URL,1,22,22.0,C_exploratory,not_applicable,0.0,0.0,3738.10879984,169.91403635636362,4653601,254221,106466,5452,4212,323300,0,0,0,0,0,4760067,216366.68181818182,9664,439.27272727272725,216834,9856.09090909091,0.8032723045744575,0.6856399119295671,17.239495650313142,4.659488426274621,0.11715658476091956,77.2560528246515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youtube,reach,Playlist URI,1,8,8.0,C_exploratory,not_applicable,0.0,2.0,0.21685948,0.027107435,44,12,1,0,0,2,0,0,0,0,0,45,5.625,0,0.0,1,0.125,4.928624545454546,,216.85948,2.272727272727273,0.0,,34411.78571428572,303682.0,441245.0,37960.25,1.0,2.0,1.6
youtube,reach,Track URI,1,9,9.0,C_exploratory,high_noise,1.0,3.0,224.74053122,24.971170135555557,138544,7191,4914,113,0,8557,0,0,0,0,0,143458,15939.777777777777,113,12.555555555555555,3643,404.77777777777777,1.6221599724275322,1.988854258584071,61.691059901180346,2.6294895484467027,0.08156253608961773,0.0,17863.5,193207.0,207001.0,21467.444444444445,0.8571428571428571,3.0,2.0
youtube,reach,URL,3,25,10.0,C_exploratory,not_applicable,0.0,1.6666666666666667,1503.6117258,60.144469031999996,499827,39252,13840,982,0,24231,0,0,0,0,0,513667,20546.68,982,39.28,10391,415.64,3.0082643110516236,1.5311728368635438,144.70327454527956,2.0789193060799036,0.19646797792036044,0.0,29506.785714285717,296738.0,467647.0,11869.52,0.0,1.88,1.5333333333333334
youtube,video_views,Album URI,17,210,9.0,A_reliable,not_applicable,0.0,1.4705882352941178,8455.080608502,40.262288611914286,6344905,117930,263839,483,0,326017,0,0,0,0,0,6608744,31470.209523809524,483,2.3,62178,296.0857142857143,1.332577967440332,17.50534287474534,135.981868321625,0.9799673911587328,0.007612407120358777,0.0,913809.4285714285,6684997.0,1551723.0,31833.319047619047,0.6386554621848739,1.2523809523809524,0.3941176470588235
youtube,video_views,Playlist URI,1,9,9.0,C_exploratory,not_applicable,0.0,2.0,30.098027505,3.3442252783333335,34429,6837,398,0,0,398,0,0,0,0,0,34827,3869.6666666666665,0,0.0,0,0.0,0.8742056843068343,,,0.0,0.0,,34411.78571428572,343341.0,450792.0,38149.0,1.0,2.0,1.5
youtube,video_views,Track URI,46,504,10.5,A_reliable,high_noise,1.0,1.5217391304347827,17160.74080864,34.04908890603174,16305194,238795,667443,1199,1,847764,0,0,0,0,0,16972637,33675.86706349206,1200,2.380952380952381,180321,357.7797619047619,1.0524708144312787,14.312544460917431,95.16773314611166,1.105911404672646,0.007353485030598226,0.08340283569641367,1312252.5,20390039.0,19396191.0,40456.42658730159,0.38975155279503104,1.4067460317460319,0.717391304347826
youtube,video_views,URL,17,216,12.0,A_reliable,not_applicable,0.0,0.47058823529411764,8605.871068963,39.84199568964352,4231966,189554,430257,1186,0,556998,0,0,0,0,0,4662223,21584.36574074074,1186,5.4907407407407405,126741,586.7638888888889,2.0335397470024574,7.256215066579259,67.90124007987156,2.9948492024746893,0.028024799821170586,0.0,206696.5,3735075.0,2099181.0,17292.01388888889,0.1722689075630252,0.4074074074074074,0.36470588235294116
