campaign_id,platform_category,canonical_artist,canonical_product,objective,project_no,product_number_type,campaign_start_date,spend,impressions,reach,video_views,link_clicks,interactions,comments,likes,reactions,shares,follows,conversions,campaign_end_date,campaign_duration_days,total_awareness_metrics,total_traffic_metrics,total_engagement_metrics,streams_during_campaign,streams_10day_post,baseline_streams_14day_pre,streaming_trackable,baseline_start,baseline_end,during_start,during_end,decay_start,decay_end,overlap_days_baseline,overlap_days_during,overlap_days_decay,overlap_ratio_baseline,overlap_ratio_during,overlap_ratio_decay,any_overlap_count
157858920231,instagram,Senorita_Dido,Crying_in_Spanish,traffic,432191283317,Playlist URI,2023-01-14,281.014795155,49337,2302,7208,2888,21630,15,0,789,0,0,277,2023-02-01,19,56545,3165,21630,227162.0,102563.0,6547.142857142857,non_track,2022-12-31,2023-01-13,2023-01-14,2023-02-01,2023-02-02,2023-02-11,0.0,31.0,12.0,0.0,1.631578947368421,1.2,3
157858920231,instagram,Senorita_Dido,The_Air_is_On_Fire,traffic,432191283317,Album URI,2023-02-21,561.77092444,57283,3734,5492,1502,16748,0,0,0,0,0,210,2023-03-13,21,62775,1712,16748,676715.0,266999.0,11729.0,non_track,2023-02-07,2023-02-20,2023-02-21,2023-03-13,2023-03-14,2023-03-23,0.0,21.0,2.0,0.0,1.0,0.2,1
157858920231,instagram,Senorita_Dido,True_Face,traffic,432191283317,URL,2023-03-28,107.9095918,16155,4073,1716,1088,6952,8,0,281,0,0,4,2023-03-31,4,17871,1092,6952,77805.0,0.0,25440.85714285714,non_track,2023-03-14,2023-03-27,2023-03-28,2023-03-31,2023-04-01,2023-04-10,2.0,4.0,0.0,0.14285714285714285,1.0,0.0,1
157858920231,instagram,Shelly_Johnson,Sometimes_Always,awareness,390712864216,Track URI,2023-03-18,617.175312,355805,39800,2655,176,23301,0,0,284,0,0,23,2023-03-30,13,358460,199,23301,314500.0,0.0,10389.5,track,2023-03-04,2023-03-17,2023-03-18,2023-03-30,2023-03-31,2023-04-09,0.0,13.0,0.0,0.0,1.0,0.0,1
157858920231,instagram,Spice_Melange_Itself,Sometimes_A_Wind_Blows,traffic,43158357218,Album URI,2023-01-27,699.42887949,132754,17023,4887,2254,31848,6,0,828,0,0,175,2023-02-04,9,137641,2429,31848,0.0,0.0,0.0,non_track,2023-01-13,2023-01-26,2023-01-27,2023-02-04,2023-02-05,2023-02-14,0.0,9.0,9.0,0.0,1.0,0.9,2
157858920231,instagram,Sue_Blue,Time_Bomb,traffic,289103107357,Album URI,2023-02-07,842.999403082,90807,9123,1956,3174,26651,0,0,99,0,0,25,2023-02-17,11,92763,3199,26651,0.0,0.0,0.0,non_track,2023-01-24,2023-02-06,2023-02-07,2023-02-17,2023-02-18,2023-02-27,0.0,11.0,6.0,0.0,1.0,0.6,1
157858920231,instagram,The_Fireman,Delete,traffic,265925730908,Track URI,2023-03-07,933.4659907719999,173365,25560,6609,5274,44959,9,0,1911,0,0,225,2023-03-21,15,179974,5499,44959,3223379.0,1597769.0,42599.92857142857,track,2023-02-21,2023-03-06,2023-03-07,2023-03-21,2023-03-22,2023-03-31,0.0,8.0,0.0,0.0,0.5333333333333333,0.0,2
157858920231,instagram,The_Lady_in_the_Radiator,Dont_Do_Anything_(I_Wouldnt_Do),traffic,67896315109,Track URI,2023-01-24,1152.310242405,158419,6582,4595,3512,49436,10,0,2596,0,0,453,2023-03-27,63,163014,3965,49436,1453748.0,112035.0,3168.214285714286,track,2023-01-10,2023-01-23,2023-01-24,2023-03-27,2023-03-28,2023-04-06,0.0,162.0,0.0,0.0,2.5714285714285716,0.0,6
157858920231,instagram,The_Lady_in_the_Radiator,Lodge_Spirits,traffic,67896315109,Track URI,2023-02-28,314.844087799,46369,3300,1543,695,11837,0,0,494,0,0,169,2023-03-16,17,47912,864,11837,516703.0,611780.0,5810.642857142857,track,2023-02-14,2023-02-27,2023-02-28,2023-03-16,2023-03-17,2023-03-26,28.0,74.0,24.0,2.0,4.352941176470588,2.4,6
157858920231,instagram,The_Man_in_the_Chair,Thoughtlessly,traffic,605595911338,URL,2023-03-24,79.46734504,9917,1616,0,124,250,1,0,111,0,0,13,2023-03-31,8,9917,137,250,35656.0,0.0,5428.0,non_track,2023-03-10,2023-03-23,2023-03-24,2023-03-31,2023-04-01,2023-04-10,0.0,8.0,0.0,0.0,1.0,0.0,1
157858920231,instagram,Thomas_Eckhardt,Shattered_Glass,traffic,481488058188,Track URI,2023-02-12,562.232029597,53695,3478,2232,1367,17034,19,0,1205,0,0,85,2023-03-01,18,55927,1452,17034,123261.0,80422.0,7267.0,track,2023-01-29,2023-02-11,2023-02-12,2023-03-01,2023-03-02,2023-03-11,0.0,34.0,0.0,0.0,1.8888888888888888,0.0,2
157858920231,other,Glossu_Rabban,Attic_Discovery,traffic,42863528974,Playlist URI,2023-03-07,0.0,1,0,0,0,0,0,0,0,0,0,0,2023-03-07,1,1,0,0,43661.0,371103.0,34411.78571428572,non_track,2023-02-21,2023-03-06,2023-03-07,2023-03-07,2023-03-08,2023-03-17,14.0,4.0,35.0,1.0,4.0,3.5,4
157858920231,other,Jeffrey_Beaumont,No_Thing,traffic,379017089087,Album URI,2023-01-10,0.0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10,1,0,0,0,40275.0,250443.0,3068.5,non_track,2022-12-27,2023-01-09,2023-01-10,2023-01-10,2023-01-11,2023-01-20,0.0,2.0,32.0,0.0,2.0,3.2,2
